region,christian,muslim,country,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
Meknes-Tafilalet,0,.96651083,33,2542715,1,Meknes,33.89352,-5.5472698,PPLA2,6295630|6255146|MA|03|6547283|6546578|2542715,Earth|Africa|Morocco|FÃ¨s-MeknÃ¨s|Meknes|Meknes|Meknes,2,1
Oriental,0,1,33,6546162,3,Aklim,34.882061,-2.5294299,ADM3,6295630|6255146|MA|02|6547287|6546162,Earth|Africa|Morocco|Oriental|Berkane|Aklim,1,1
Oued Ed-Dahab-Lagouira,0,1,33,6546233,3,El Argoub,23.710079,-15.26972,ADM3,6295630|6255146|MA|12|6547298|6546233,Earth|Africa|Morocco|Dakhla-Oued Ed-Dahab|Oued-Ed-Dahab|El Argoub,1,1
Rabat-Sale-Zemmour-Zaer,0,1,33,6546340,3,Bab Lamrissa,34.05991,-6.8104801,ADM3,6295630|6255146|MA|04|2537762|6546340,Earth|Africa|Morocco|Rabat-SalÃ©-KÃ©nitra|Sale|Bab Lamrissa,1,1
Souss-Massa-Draa,0,1,33,2527089,1,Tiznit,29.69742,-9.7316198,PPLA3,6295630|6255146|MA|09|2527087|6547047|2527089,Earth|Africa|Morocco|Souss-Massa|Tiznit Province|Tiznit|Tiznit,2,1
Tadla-Azilal,0,1,33,2532412,1,Souq Sebt Oulad Nemma,32.297298,-6.7030101,PPL,6295630|6255146|MA|05|2532412,Earth|Africa|Morocco|BÃ©ni Mellal-KhÃ©nifra|Souq Sebt Oulad Nemma,2,1
Tangier-Tetouan,0,.98946118,33,2544001,1,Ksar El Kebir,35.000439,-5.90378,PPL,6295630|6255146|MA|01|2543546|2544001,Earth|Africa|Morocco|Tanger-Tetouan-Al Hoceima|Larache|Ksar El Kebir,2,1
Taza-Al Hoceima-Taounate,0,1,33,2548489,1,Guercif,34.225681,-3.35361,PPLA3,6295630|6255146|MA|03|2529313|6547086|2548489,Earth|Africa|Morocco|FÃ¨s-MeknÃ¨s|Taza|Guercif|Guercif,2,1
North,0,1,34,380186,1,Ad Dabbah,18.049999,30.950001,PPL,6295630|6255146|SD|43|380186,Earth|Africa|Sudan|Northern State|Ad Dabbah,2,1
Nahr ALnil,0,1,34,367308,1,Shendi,16.6915,33.434101,PPL,6295630|6255146|SD|53|367308,Earth|Africa|Sudan|River Nile State|Shendi,2,1
Red Sea,0,1,34,408646,4,Red Sea,19.966669,35.666672,ADM1,6295630|6255146|SD|36,Earth|Africa|Sudan|Red Sea,1,1
Kassala,0,1,34,372753,1,Kassala,15.45099,36.399979,PPLA,6295630|6255146|SD|52|372753,Earth|Africa|Sudan|Kassala|Kassala,2,1
Gadarif,0,1,34,379062,1,Gedaref,14.03493,35.383438,PPLA,6295630|6255146|SD|39|379062,Earth|Africa|Sudan|Al Qaá¸Ärif|Gedaref,2,1
Khartom,.0043181819,.99568182,34,6992533,1,Al Manshiya,15.5911,32.575901,PPL,6295630|6255146|SD|29|6992533,Earth|Africa|Sudan|Khartoum|Al Manshiya,2,1
Gezira,0,1,34,364103,1,Wad Madani,14.40118,33.51989,PPLA,6295630|6255146|SD|38|364103,Earth|Africa|Sudan|Al JazÄ«rah|Wad Madani,2,1
White Nile,0,1,34,11287139,1,Block 47,15.53902,32.565281,PPL,6295630|6255146|SD|29|11287139,Earth|Africa|Sudan|Khartoum|Block 47,2,1
Sennar,0,.99099612,34,366847,1,Singa,13.1483,33.931171,PPLA,6295630|6255146|SD|58|366847,Earth|Africa|Sudan|SinnÄr|Singa,2,1
Blue Nile,0,1,34,408654,4,Blue Nile,11.15,34.099998,ADM1,6295630|6255146|SD|42,Earth|Africa|Sudan|Blue Nile,1,1
South Kordufan,0,1,34,408661,4,Southern Kordofan,11.26667,30.83333,ADM1,6295630|6255146|SD|50,Earth|Africa|Sudan|Southern Kordofan,1,1
North Kordufan,0,1,34,8051146,3,Sheikan,13.13,30.08,ADM2,6295630|6255146|SD|56|8051146,Earth|Africa|Sudan|North Kordofan|Sheikan,1,1
North Darfur,0,1,34,379555,1,Al-Fashir,13.62793,25.34936,PPLA,6295630|6255146|SD|55|379555,Earth|Africa|Sudan|Northern Darfur|Al-Fashir,2,1
West Darfur,0,1,34,379303,1,Geneina,13.45262,22.44725,PPLA,6295630|6255146|SD|47|379303,Earth|Africa|Sudan|Western Darfur|Geneina,2,1
South Darfur,.0078616198,.98371524,34,369004,1,Nyala,12.04888,24.88069,PPLA,6295630|6255146|SD|49|369004,Earth|Africa|Sudan|Southern Darfur|Nyala,2,1
